"AIRPORT_ID","AIRPORT","DISPLAY_AIRPORT_NAME","DISPLAY_AIRPORT_CITY_NAME_FULL","AIRPORT_COUNTRY_NAME","AIRPORT_STATE_NAME","CITY_MARKET_ID","LAT_DEGREES","LAT_HEMISPHERE","LAT_MINUTES","LAT_SECONDS","LATITUDE","LON_DEGREES","LON_HEMISPHERE","LON_MINUTES","LON_SECONDS","LONGITUDE","UTC_LOCAL_TIME_VARIATION","AIRPORT_START_DATE","AIRPORT_THRU_DATE","AIRPORT_IS_CLOSED","AIRPORT_IS_LATEST",
10251,"AKX","Aktyubinsk Airport","Aktyubinsk, U.S.S.R.","U.S.S.R.","",30251,50,"N",15,0,50.25000000,57,"E",13,0,57.21666667,"+0500",1986-12-01,1991-12-31,0,0,
10251,"AKX","Aktyubinsk Airport","Aktyubinsk, Kazakhstan","Kazakhstan","",30251,50,"N",15,0,50.25000000,57,"E",13,0,57.21666667,"+0500",1992-01-01,,0,1,
10252,"AKY","Akyab Airport","Akyab, Burma","Burma","",30252,20,"N",7,49,20.13027778,92,"E",52,49,92.88027778,"+0630",1950-01-01,1992-08-31,0,0,
10252,"AKY","Sittwe Airport","Sittwe, Burma","Burma","",30252,20,"N",7,49,20.13027778,92,"E",52,49,92.88027778,"+0630",1992-09-01,2011-06-30,0,0,
10252,"AKY","Sittwe Airport","Sittwe, Burma","Burma","",30252,20,"N",7,58,20.13277778,92,"E",52,21,92.87250000,"+0630",2011-07-01,2018-09-30,0,0,
10252,"AKY","Sittwe Airport","Sittwe, Burma","Burma","",30252,20,"N",8,0,20.13333333,92,"E",52,14,92.87055556,"+0630",2018-10-01,,0,1,
10253,"AL1","Albertville Regional-Thomas J Brumlik Field","Albertville, AL","United States","Alabama",30253,34,"N",13,45,34.22916667,86,"W",15,21,-86.25583333,"-0600",2003-01-01,,0,1,
10254,"AL2","Shelby County","Alabaster, AL","United States","Alabama",30254,33,"N",10,37,33.17694444,86,"W",46,58,-86.78277778,"-0600",2008-06-01,2011-06-30,0,0,
10254,"AL2","Shelby County","Alabaster, AL","United States","Alabama",30254,33,"N",10,40,33.17777778,86,"W",47,0,-86.78333333,"-0600",2011-07-01,,0,1,
10255,"AL3","Madison County Executive/Tom Sharp Jr. Field","Huntsville, AL","United States","Alabama",30255,34,"N",51,41,34.86138889,86,"W",33,27,-86.55750000,"-0600",2008-07-01,2014-01-31,0,0,
10255,"AL3","Madison County Executive/Tom Sharp Jr. Field","Huntsville, AL","United States","Alabama",30255,34,"N",51,34,34.85944444,86,"W",33,27,-86.55750000,"-0600",2014-02-01,2015-03-31,0,0,
10255,"AL3","Huntsville Executive Airport Tom Sharp Jr","Huntsville, AL","United States","Alabama",30255,34,"N",51,34,34.85944444,86,"W",33,27,-86.55750000,"-0600",2015-04-01,2017-10-31,0,0,
10255,"AL3","Madison County Executive Tom Sharp Jr Field","Huntsville, AL","United States","Alabama",30255,34,"N",51,41,34.86138889,86,"W",33,27,-86.55750000,"-0600",2017-11-01,2017-11-30,0,0,
10255,"AL3","Huntsville Executive Airport Tom Sharp Jr","Huntsville, AL","United States","Alabama",30255,34,"N",51,34,34.85944444,86,"W",33,27,-86.55750000,"-0600",2017-12-01,2019-03-31,0,0,
10255,"AL3","Huntsville Executive Tom Sharp Jr","Huntsville, AL","United States","Alabama",30255,34,"N",51,34,34.85944444,86,"W",33,27,-86.55750000,"-0600",2019-04-01,,0,1,
10256,"ALA","Alma-Ata Airport","Alma-Ata, U.S.S.R.","U.S.S.R.","",30256,43,"N",21,0,43.35000000,77,"E",2,0,77.03333333,"+0600",1950-01-01,1991-12-31,0,0,
